destination_name,province,district,categories,cost_per_day,rating,total_visitors,spring_visitors,summer_visitors,autumn_visitors,winter_visitors,best_seasons,difficulty,avg_stay_days,emoji,highlights
Pashupatinath Temple,Bagmati,Kathmandu,"cultural,spiritual,heritage,history",800,4.9,245000,68000,28000,92000,57000,"spring,autumn",easy,1.0,🛕,"UNESCO listed,Hindu heritage,Bagmati ghats,Evening aarti ceremony,Ancient stone carvings"
Boudhanath Stupa,Bagmati,Kathmandu,"cultural,spiritual,buddhist",600,4.8,198000,55000,22000,78000,43000,"spring,autumn",easy,0.5,🏛,"World's largest stupa,Tibetan Buddhism hub,Kora circuit,Thangka galleries,Butter lamps"
Changu Narayan Temple,Bagmati,Bhaktapur,"history,cultural,heritage",700,4.7,88000,24000,9500,32000,22500,"spring,autumn",easy,0.5,🏯,"Oldest temple in Nepal,Stone carvings,Panoramic valley views,UNESCO site,Licchavi art"
Namobuddha Monastery,Bagmati,Kavrepalanchok,"spiritual,buddhist,nature",900,4.6,62000,17000,8200,22000,14800,"spring,autumn",easy,1.5,🌄,"Sacred Buddhist site,Himalayan views,Tiger legend site,Peaceful forest trails,Meditation"
Patan Durbar Square,Bagmati,Lalitpur,"history,cultural,art,heritage",650,4.8,142000,38000,14200,54000,35800,"spring,autumn,winter",easy,1.0,🏛,"Malla dynasty palace,Newari architecture,Bronze casting heritage,Patan Museum,Stone temples"
Bhaktapur Durbar Square,Bagmati,Bhaktapur,"history,cultural,art",750,4.8,128000,35000,12800,48000,32200,"spring,autumn",easy,1.0,🏰,"55-Window Palace,Pottery square,Peacock windows,Juju Dhau curd,Medieval city"
Shivapuri Nagarjun Park,Bagmati,Kathmandu,"wildlife,nature,adventure",500,4.4,72000,22000,8800,28000,13200,"spring,autumn,winter",moderate,0.5,🌿,"Leopards and langurs,Bird watching,City-edge wilderness,Day hikes,Monastery at peak"
Phulchowki Hill,Bagmati,Lalitpur,"wildlife,nature",400,4.3,38000,14000,4200,12000,7800,spring,moderate,0.5,🦅,"250+ bird species,Rhododendron forests,Highest peak in valley,Himalaya views,Spring blooms"
Godavari Botanical Garden,Bagmati,Lalitpur,"nature,wildlife",350,4.2,44000,16000,9800,11000,7200,"spring,summer",easy,0.5,🌸,"900+ plant species,Orchid house,Butterfly park,Picnic grounds,University garden"
Dakshinkali Temple,Bagmati,Kathmandu,"cultural,spiritual",500,4.3,68000,19000,8400,25000,15600,"spring,autumn",easy,0.5,🔱,"Tantric goddess shrine,Forested gorge,Saturday markets,Forest hike nearby,Sacred rituals"
Nagarjun Forest Reserve,Bagmati,Kathmandu,"wildlife,nature,adventure",450,4.2,48000,14000,5600,18000,10400,"spring,autumn,winter",easy,0.5,🌲,"Dense oak and pine,Himalayan wildlife,Stupa at summit,Half-day trek,Langur monkeys"
Swayambhunath Stupa,Bagmati,Kathmandu,"cultural,spiritual,buddhist",550,4.7,165000,46000,18000,62000,39000,"spring,autumn",easy,0.5,🐵,"Monkey temple,Panoramic Kathmandu view,Ancient stupa,Buddhist shrine,Prayer wheels"
Kopan Monastery,Bagmati,Kathmandu,"spiritual,buddhist",450,4.5,32000,9200,5600,12000,5200,"spring,autumn,winter",easy,1.0,🕌,"Meditation retreats,Hillside location,Peaceful gardens,Buddhist teachings,Valley views"
Annapurna Base Camp,Gandaki,Kaski,"adventure,nature",2800,4.9,88000,32000,5800,42000,8200,"spring,autumn",hard,9.0,🏔,"360-degree Himalayan panorama,Annapurna massif,Rhododendron forests,Hot springs,World-class trek"
Poon Hill,Gandaki,Myagdi,"adventure,nature",1800,4.8,72000,28000,4200,32000,7800,"spring,autumn",moderate,3.0,⛅,"Famous sunrise,Dhaulagiri views,Ghorepani village,Rhododendron trail,Affordable trek"
Phewa Lake Pokhara,Gandaki,Kaski,"nature,cultural",1200,4.7,186000,58000,32000,72000,24000,"spring,autumn,winter",easy,3.0,🌊,"Boating on Phewa,Fish Tail mountain reflection,Lakeside promenade,Paragliding,Peace Pagoda"
Mustang Kingdom,Gandaki,Mustang,"cultural,history,adventure",4200,4.8,14000,5200,4800,3200,800,"summer,spring",hard,7.0,🏜,"Ancient Lo Manthang,Tibetan culture,Rain shadow desert,Cave monasteries,Restricted area"
Manaslu Circuit,Gandaki,Gorkha,"adventure,nature",3200,4.9,22000,8800,2400,9600,1200,"spring,autumn",hard,14.0,⛺,"Remote Himalayan circuit,Tibetan border villages,Pristine wilderness,Manaslu peak,Challenging passes"
Lumbini Sacred Garden,Lumbini,Rupandehi,"spiritual,history,cultural",600,4.8,182000,52000,18000,68000,44000,"spring,winter,autumn",easy,1.5,☮,"Buddha birthplace,UNESCO World Heritage,Maya Devi Temple,Eternal flame,International monasteries"
Chitwan National Park,Lumbini,Chitwan,"wildlife,nature",2200,4.9,224000,68000,28000,96000,32000,"autumn,winter,spring",easy,3.0,🐘,"One-horned rhinos,Bengal tigers,Jungle safari,Elephant conservation,Gharial crocodiles"
Bandipur Village,Lumbini,Tanahun,"cultural,history",800,4.6,38000,12000,5600,14000,6400,"spring,autumn,winter",easy,1.5,🏘,"Medieval Newari town,Himalayan panorama,Silk Route history,Car-free streets,Traditional architecture"
Palpa Tansen,Lumbini,Palpa,"history,cultural,art",700,4.4,28000,8200,4400,10800,4600,"spring,autumn,winter",easy,2.0,⛩,"Dhaka weaving heritage,Rani Mahal,Valley panoramas,Old bazaar,Newar culture"
Kanchenjunga Base Camp,Koshi,Taplejung,"adventure,nature",3800,4.9,18000,7200,2400,8400,0,"spring,autumn",hard,16.0,⛰,"Third highest peak,Remote wilderness,Himalayan flora,16-day trek,Pristine trails"
Ilam Tea Garden,Koshi,Ilam,"nature,cultural",600,4.5,44000,14000,8800,16000,5200,"spring,summer",easy,2.0,🍃,"Rolling tea hills,Orthodox tea production,Sunrise views,Kanyam village,Green landscapes"
Pathibhara Temple,Koshi,Taplejung,"spiritual,cultural",400,4.6,88000,28000,12000,32000,16000,"spring,autumn",moderate,1.0,🛕,"High altitude temple,Pilgrimage site,Mountain panorama,Sacred deity,Prayer flags"
Koshi Tappu Reserve,Koshi,Sunsari,"wildlife,nature",600,4.3,28000,9800,3200,12000,3000,"autumn,winter,spring",easy,2.0,🦏,"Wild water buffalo,Migratory birds,River ecosystem,Rare species,Biodiversity hotspot"
Rara National Park,Karnali,Mugu,"nature,wildlife,adventure",3800,4.8,8400,3200,1800,3000,400,"spring,autumn",hard,4.0,🏞,"Nepal's largest lake,Remote wilderness,Crystal blue water,Snow-capped surroundings,Pristine ecosystem"
Dolpo Region,Karnali,Dolpa,"adventure,cultural,spiritual",4800,4.9,4200,2400,1200,600,0,"summer,spring",hard,14.0,🏔,"Upper Dolpo restricted area,Shey Phoksundo Lake,Tibetan culture,Bon religion,Crystal Mountain"
Jumla Orchards,Karnali,Jumla,"nature,cultural",500,4.2,6800,2400,3200,1000,200,"summer,spring",moderate,3.0,🍎,"Apple orchards,High altitude farming,Ancient history,Karnali river source,Remote culture"
Khaptad National Park,Karnali,Achham,"nature,wildlife,spiritual",800,4.4,12000,4200,3200,3800,800,"spring,summer",moderate,3.0,🌿,"Plateau grasslands,Hindu pilgrimage,Rare plants,Himalayan wildlife,Khaptad Baba ashram"
Badimalika Temple,Sudurpashchim,Bajura,"spiritual,cultural",400,4.3,22000,8800,4800,7200,1200,"spring,autumn",hard,2.0,🌺,"High altitude pilgrimage,Sacred goddess,Remote trekking,Alpine meadows,Panoramic Himalaya"
Shuklaphanta National Park,Sudurpashchim,Kanchanpur,"wildlife,nature",600,4.5,38000,12000,5200,16000,4800,"autumn,winter,spring",easy,2.0,🐆,"Largest swamp deer herd in Asia,Royal Bengal tiger,Elephant habitat,Grassland ecosystem,Pristine Terai"
Api Base Camp,Sudurpashchim,Darchula,"adventure,nature",2800,4.7,4800,2200,1200,1400,0,"spring,autumn",hard,10.0,⛰,"Api peak at 7132m,Remote Himalayas,Pristine trails,Darchula valley,Challenging approach"
Dewal Cultural Zone,Sudurpashchim,Bajhang,"history,cultural",350,4.1,8400,2800,2200,2600,800,"spring,autumn",moderate,2.0,🏛,"Ancient temples,Karnali culture,Traditional festivals,Remote villages,Himalayan backdrop"
Janaki Temple,Madhesh,Janakpur,"spiritual,cultural,history",400,4.7,142000,48000,24000,52000,18000,"spring,autumn,winter",easy,1.0,🛕,"Ram-Sita birthplace,Maithili art,Mithila paintings,Religious festivals,Ornate architecture"
Parsa National Park,Madhesh,Parsa,"wildlife,nature",800,4.3,18000,5800,2400,8200,1600,"autumn,winter,spring",easy,2.0,🐅,"Royal Bengal tiger,Gaur bison,Transboundary with India,Dense Sal forest,Wildlife photography"
Gadhimai Temple,Madhesh,Bara,"cultural,spiritual",200,4.2,68000,18000,8000,28000,14000,"spring,autumn",easy,0.5,🔱,"Famous pilgrimage site,Bara district,Traditional festivals,Religious significance,Cultural gathering"
